Class,Distance Range (m),Total GT,Total Pred,TP,FP,FN,Precision,Recall,mAP@0.75
car,0-10,167,168,158,10,9,0.9405,0.9461,0.9676
car,10-20,511,561,410,151,101,0.7308,0.8023,0.8576
car,20-30,673,965,399,566,274,0.4135,0.5929,0.7095
car,30-40,387,806,174,632,213,0.2159,0.4496,0.6079
car,40-50,183,507,52,455,131,0.1026,0.2842,0.4345
car,50-60,135,243,14,229,121,0.0576,0.1037,0.2847
truck,0-10,8,7,6,1,2,0.8571,0.7500,0.6909
truck,10-20,29,55,25,30,4,0.4545,0.8621,0.9460
truck,20-30,26,149,20,129,6,0.1342,0.7692,0.7007
truck,30-40,14,251,11,240,3,0.0438,0.7857,0.4609
truck,40-50,18,104,2,102,16,0.0192,0.1111,0.0705
truck,50-60,27,52,2,50,25,0.0385,0.0741,0.0979
construction_vehicle,10-20,0,2,0,2,0,0.0000,0.0000,0.0000
construction_vehicle,20-30,0,11,0,11,0,0.0000,0.0000,0.0000
construction_vehicle,30-40,0,56,0,56,0,0.0000,0.0000,0.0000
construction_vehicle,40-50,0,40,0,40,0,0.0000,0.0000,0.0000
construction_vehicle,50-60,0,25,0,25,0,0.0000,0.0000,0.0000
bus,10-20,16,15,15,0,1,1.0000,0.9375,0.9333
bus,20-30,9,17,9,8,0,0.5294,1.0000,0.7045
bus,30-40,4,13,3,10,1,0.2308,0.7500,0.4603
bus,40-50,4,25,4,21,0,0.1600,1.0000,0.7500
bus,50-60,8,58,2,56,6,0.0345,0.2500,0.0593
trailer,10-20,0,1,0,1,0,0.0000,0.0000,0.0000
trailer,30-40,0,2,0,2,0,0.0000,0.0000,0.0000
trailer,40-50,0,6,0,6,0,0.0000,0.0000,0.0000
trailer,50-60,0,1,0,1,0,0.0000,0.0000,0.0000
barrier,0-10,0,3,0,3,0,0.0000,0.0000,0.0000
barrier,10-20,0,23,0,23,0,0.0000,0.0000,0.0000
barrier,20-30,0,35,0,35,0,0.0000,0.0000,0.0000
barrier,30-40,0,61,0,61,0,0.0000,0.0000,0.0000
barrier,40-50,0,51,0,51,0,0.0000,0.0000,0.0000
barrier,50-60,0,49,0,49,0,0.0000,0.0000,0.0000
motorcycle,0-10,23,20,1,19,22,0.0500,0.0435,0.0833
motorcycle,10-20,90,108,14,94,76,0.1296,0.1556,0.2189
motorcycle,20-30,64,140,5,135,59,0.0357,0.0781,0.1931
motorcycle,30-40,35,146,0,146,35,0.0000,0.0000,0.0000
motorcycle,40-50,13,82,0,82,13,0.0000,0.0000,0.0000
motorcycle,50-60,8,24,0,24,8,0.0000,0.0000,0.0000
bicycle,0-10,4,10,2,8,2,0.2000,0.5000,0.4167
bicycle,10-20,11,63,4,59,7,0.0635,0.3636,0.4173
bicycle,20-30,16,84,1,83,15,0.0119,0.0625,0.0000
bicycle,30-40,5,59,1,58,4,0.0169,0.2000,0.0000
bicycle,40-50,2,32,0,32,2,0.0000,0.0000,0.0000
bicycle,50-60,6,15,0,15,6,0.0000,0.0000,0.0000
pedestrian,0-10,145,591,35,556,110,0.0592,0.2414,0.2835
pedestrian,10-20,440,2400,74,2326,366,0.0308,0.1682,0.2466
pedestrian,20-30,321,2504,40,2464,281,0.0160,0.1246,0.1757
pedestrian,30-40,154,1857,11,1846,143,0.0059,0.0714,0.1291
pedestrian,40-50,108,1542,3,1539,105,0.0019,0.0278,0.0246
pedestrian,50-60,92,898,1,897,91,0.0011,0.0109,0.0063
traffic_cone,0-10,15,118,0,118,15,0.0000,0.0000,0.0000
traffic_cone,10-20,17,272,0,272,17,0.0000,0.0000,0.0000
traffic_cone,20-30,4,320,0,320,4,0.0000,0.0000,0.0000
traffic_cone,30-40,1,379,0,379,1,0.0000,0.0000,0.0000
traffic_cone,40-50,0,130,0,130,0,0.0000,0.0000,0.0000
traffic_cone,50-60,0,43,0,43,0,0.0000,0.0000,0.0000
