Class,Distance Range (m),Total GT,Total Pred,TP,FP,FN,Precision,Recall,mAP@0.75
car,0-10,167,169,159,10,8,0.9408,0.9521,0.9691
car,10-20,511,608,378,230,133,0.6217,0.7397,0.8373
car,20-30,673,1051,363,688,310,0.3454,0.5394,0.6789
car,30-40,387,676,147,529,240,0.2175,0.3798,0.5320
car,40-50,183,386,39,347,144,0.1010,0.2131,0.3321
car,50-60,135,131,13,118,122,0.0992,0.0963,0.3393
truck,0-10,8,11,7,4,1,0.6364,0.8750,0.8013
truck,10-20,29,61,27,34,2,0.4426,0.9310,0.9553
truck,20-30,26,139,21,118,5,0.1511,0.8077,0.9006
truck,30-40,14,131,8,123,6,0.0611,0.5714,0.5154
truck,40-50,18,65,6,59,12,0.0923,0.3333,0.1941
truck,50-60,27,23,0,23,27,0.0000,0.0000,0.0000
construction_vehicle,10-20,0,2,0,2,0,0.0000,0.0000,0.0000
construction_vehicle,20-30,0,3,0,3,0,0.0000,0.0000,0.0000
construction_vehicle,30-40,0,10,0,10,0,0.0000,0.0000,0.0000
construction_vehicle,40-50,0,8,0,8,0,0.0000,0.0000,0.0000
construction_vehicle,50-60,0,5,0,5,0,0.0000,0.0000,0.0000
bus,10-20,16,16,14,2,2,0.8750,0.8750,0.8630
bus,20-30,9,19,8,11,1,0.4211,0.8889,0.6448
bus,30-40,4,11,2,9,2,0.1818,0.5000,0.5000
bus,40-50,4,14,3,11,1,0.2143,0.7500,0.4121
bus,50-60,8,11,1,10,7,0.0909,0.1250,0.0000
trailer,0-10,0,6,0,6,0,0.0000,0.0000,0.0000
trailer,10-20,0,2,0,2,0,0.0000,0.0000,0.0000
trailer,30-40,0,2,0,2,0,0.0000,0.0000,0.0000
trailer,40-50,0,4,0,4,0,0.0000,0.0000,0.0000
trailer,50-60,0,7,0,7,0,0.0000,0.0000,0.0000
barrier,0-10,0,1,0,1,0,0.0000,0.0000,0.0000
barrier,10-20,0,13,0,13,0,0.0000,0.0000,0.0000
barrier,20-30,0,31,0,31,0,0.0000,0.0000,0.0000
barrier,30-40,0,35,0,35,0,0.0000,0.0000,0.0000
barrier,40-50,0,13,0,13,0,0.0000,0.0000,0.0000
barrier,50-60,0,21,0,21,0,0.0000,0.0000,0.0000
motorcycle,0-10,23,23,0,23,23,0.0000,0.0000,0.0000
motorcycle,10-20,90,133,18,115,72,0.1353,0.2000,0.4088
motorcycle,20-30,64,244,3,241,61,0.0123,0.0469,0.1190
motorcycle,30-40,35,187,0,187,35,0.0000,0.0000,0.0000
motorcycle,40-50,13,90,0,90,13,0.0000,0.0000,0.0000
motorcycle,50-60,8,17,0,17,8,0.0000,0.0000,0.0000
bicycle,0-10,4,22,1,21,3,0.0455,0.2500,0.0000
bicycle,10-20,11,170,3,167,8,0.0176,0.2727,0.3722
bicycle,20-30,16,126,0,126,16,0.0000,0.0000,0.0000
bicycle,30-40,5,71,0,71,5,0.0000,0.0000,0.0000
bicycle,40-50,2,29,0,29,2,0.0000,0.0000,0.0000
bicycle,50-60,6,3,0,3,6,0.0000,0.0000,0.0000
pedestrian,0-10,145,654,30,624,115,0.0459,0.2069,0.2340
pedestrian,10-20,440,2917,67,2850,373,0.0230,0.1523,0.1741
pedestrian,20-30,321,3402,42,3360,279,0.0123,0.1308,0.1589
pedestrian,30-40,154,2239,15,2224,139,0.0067,0.0974,0.0936
pedestrian,40-50,108,1125,2,1123,106,0.0018,0.0185,0.0077
pedestrian,50-60,92,370,0,370,92,0.0000,0.0000,0.0000
traffic_cone,0-10,15,89,0,89,15,0.0000,0.0000,0.0000
traffic_cone,10-20,17,211,1,210,16,0.0047,0.0588,0.1000
traffic_cone,20-30,4,142,0,142,4,0.0000,0.0000,0.0000
traffic_cone,30-40,1,199,0,199,1,0.0000,0.0000,0.0000
traffic_cone,40-50,0,48,0,48,0,0.0000,0.0000,0.0000
traffic_cone,50-60,0,1,0,1,0,0.0000,0.0000,0.0000
